"mysql","online_exam","user","email","4","varchar","50","PRIMARY KEY",NULL,NULL,NULL
"mysql","online_quiz","a1_active_users","id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","online_quiz","a1_question_bank","question_id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","online_quiz","a1_subjects","subject","2","varchar","255","UNIQUE",NULL,NULL,NULL
"mysql","online_quiz","a1_subjects","subject_id","1","bigint",NULL,"UNIQUE",NULL,NULL,NULL
"mysql","online_quiz","a1_user_answers","id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","online_quiz","a1_users","ID","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","online_quiz","a1_users","emailID","3","varchar","255","UNIQUE",NULL,NULL,NULL
"mysql","onlineexaminationportal","admin","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","onlineexaminationportal","examinee","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","onlineexaminationportal","examinee","sub_id","9","varchar","10","FOREIGN KEY","onlineexaminationportal","subject","sub_id"
"mysql","onlineexaminationportal","examiner","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","onlineexaminationportal","examiner","sub_id","5","varchar","10","FOREIGN KEY","onlineexaminationportal","subject","sub_id"
"mysql","onlineexaminationportal","question","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","onlineexaminationportal","question","sub_id","10","varchar","10","FOREIGN KEY","onlineexaminationportal","subject","sub_id"
"mysql","onlineexaminationportal","question","examiner_id","9","int",NULL,"FOREIGN KEY","onlineexaminationportal","examiner","id"
"mysql","onlineexaminationportal","result","sub_id","2","varchar","10","FOREIGN KEY","onlineexaminationportal","subject","sub_id"
"mysql","onlineexaminationportal","result","examinee_id","1","int",NULL,"FOREIGN KEY","onlineexaminationportal","examinee","id"
"mysql","onlineexaminationportal","subject","sub_id","1","varchar","10","PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__bookmark","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__central_columns","db_name","1","varchar","64","PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__central_columns","col_name","2","varchar","64","PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__column_info","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__column_info","db_name","2","varchar","64","UNIQUE",NULL,NULL,NULL
"mysql","phpmyadmin","pma__column_info","table_name","3","varchar","64","UNIQUE",NULL,NULL,NULL
"mysql","phpmyadmin","pma__column_info","column_name","4","varchar","64","UNIQUE",NULL,NULL,NULL
"mysql","phpmyadmin","pma__designer_settings","username","1","varchar","64","PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__export_templates","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__export_templates","username","2","varchar","64","UNIQUE",NULL,NULL,NULL
"mysql","phpmyadmin","pma__export_templates","export_type","3","varchar","10","UNIQUE",NULL,NULL,NULL
"mysql","phpmyadmin","pma__export_templates","template_name","4","varchar","64","UNIQUE",NULL,NULL,NULL
"mysql","phpmyadmin","pma__favorite","username","1","varchar","64","PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__history","id","1","bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__navigationhiding","username","1","varchar","64","PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__navigationhiding","item_name","2","varchar","64","PRIMARY KEY",NULL,NULL,NULL
"mysql","phpmyadmin","pma__navigationhiding","item_type","3","varchar","64","PRIMARY KEY",NULL,NULL,NULL
